,cell_type,batch,condition,donor,n_counts
cell_00000,T_cell,batch_0,disease,donor_0,1412
cell_00001,T_cell,batch_0,disease,donor_0,1357
cell_00002,T_cell,batch_2,healthy,donor_3,1261
cell_00003,T_cell,batch_2,healthy,donor_4,1184
cell_00004,T_cell,batch_0,healthy,donor_3,1201
cell_00005,T_cell,batch_2,disease,donor_4,1345
cell_00006,T_cell,batch_1,healthy,donor_5,1287
cell_00007,T_cell,batch_0,disease,donor_1,1237
cell_00008,T_cell,batch_1,healthy,donor_2,1534
cell_00009,T_cell,batch_0,healthy,donor_3,1238
cell_00010,T_cell,batch_0,disease,donor_1,1203
cell_00011,T_cell,batch_2,healthy,donor_5,1302
cell_00012,T_cell,batch_2,healthy,donor_1,1248
cell_00013,T_cell,batch_2,healthy,donor_0,1470
cell_00014,T_cell,batch_2,disease,donor_2,1408
cell_00015,T_cell,batch_1,healthy,donor_5,1277
cell_00016,T_cell,batch_2,healthy,donor_5,1293
cell_00017,T_cell,batch_2,healthy,donor_3,1337
cell_00018,T_cell,batch_1,disease,donor_2,1252
cell_00019,T_cell,batch_0,healthy,donor_3,1366
cell_00020,T_cell,batch_1,disease,donor_4,1341
cell_00021,T_cell,batch_0,healthy,donor_2,1448
cell_00022,T_cell,batch_2,disease,donor_0,1438
cell_00023,T_cell,batch_1,healthy,donor_3,1422
cell_00024,T_cell,batch_1,healthy,donor_3,1162
cell_00025,T_cell,batch_2,healthy,donor_5,1180
cell_00026,T_cell,batch_1,disease,donor_3,1226
cell_00027,T_cell,batch_2,disease,donor_0,1303
cell_00028,T_cell,batch_1,disease,donor_1,1116
cell_00029,T_cell,batch_1,healthy,donor_0,1332
cell_00030,T_cell,batch_1,healthy,donor_5,1272
cell_00031,T_cell,batch_2,healthy,donor_5,1395
cell_00032,T_cell,batch_1,disease,donor_5,1265
cell_00033,T_cell,batch_2,healthy,donor_1,1418
cell_00034,T_cell,batch_1,disease,donor_0,1211
cell_00035,T_cell,batch_2,disease,donor_2,1410
cell_00036,T_cell,batch_0,healthy,donor_4,1259
cell_00037,T_cell,batch_0,healthy,donor_5,1282
cell_00038,T_cell,batch_2,healthy,donor_3,1251
cell_00039,T_cell,batch_0,healthy,donor_5,1322
cell_00040,T_cell,batch_1,healthy,donor_1,1250
cell_00041,T_cell,batch_0,healthy,donor_4,1142
cell_00042,T_cell,batch_0,healthy,donor_5,1325
cell_00043,T_cell,batch_2,healthy,donor_1,1184
