,BANK1,BATF3,BLK,CD14,CD160,CD19,CD1C,CD22,CD3D,CD3E,CD3G,CD4,CD68,CD79A,CD79B,CD8A,CD8B,CLEC10A,CSF1R,FCER1A,FCGR3A,FCN1,GNLY,GZMB,HLA-DQA1,HLA-DRA,IGHD,IGHM,IL3RA,IL7R
cell_00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,73.0,60.0,50.0,0.0,0.0,0.0,52.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,53.0
cell_00001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,72.0,110.0,45.0,0.0,0.0,0.0,82.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0
cell_00002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,47.0,65.0,79.0,0.0,0.0,0.0,45.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0
cell_00003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,30.0,36.0,69.0,0.0,0.0,0.0,60.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0
cell_00004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,47.0,68.0,37.0,0.0,0.0,0.0,49.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0
cell_00005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,79.0,29.0,118.0,0.0,0.0,0.0,43.0,62.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0
cell_00006,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,34.0,77.0,62.0,50.0,0.0,0.0,0.0,43.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0
cell_00007,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,43.0,38.0,68.0,0.0,0.0,0.0,55.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0
cell_00008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,59.0,100.0,24.0,0.0,0.0,0.0,66.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,71.0
cell_00009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,53.0,55.0,58.0,0.0,0.0,0.0,27.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0
