,is_marker,is_mitochondrial
BANK1,True,False
BATF3,True,False
BLK,True,False
CD14,True,False
CD160,True,False
CD19,True,False
CD1C,True,False
CD22,True,False
CD3D,True,False
CD3E,True,False
CD3G,True,False
CD4,True,False
CD68,True,False
CD79A,True,False
CD79B,True,False
CD8A,True,False
CD8B,True,False
CLEC10A,True,False
CSF1R,True,False
FCER1A,True,False
FCGR3A,True,False
FCN1,True,False
GNLY,True,False
GZMB,True,False
HLA-DQA1,True,False
HLA-DRA,True,False
IGHD,True,False
IGHM,True,False
IL3RA,True,False
IL7R,True,False
IRF8,True,False
ITGAM,True,False
ITGAX,True,False
KLRB1,True,False
KLRD1,True,False
KLRK1,True,False
LEF1,True,False
LILRA4,True,False
LYZ,True,False
MS4A1,True,False
NCAM1,True,False
NKG7,True,False
PAX5,True,False
PRF1,True,False
S100A8,True,False
S100A9,True,False
TCF7,True,False
TRAC,True,False
VCAN,True,False
GENE_0000,False,False
GENE_0001,False,False
GENE_0002,False,False
GENE_0003,False,False
GENE_0004,False,False
GENE_0005,False,False
GENE_0006,False,False
GENE_0007,False,False
GENE_0008,False,False
GENE_0009,False,False
GENE_0010,False,False
GENE_0011,False,False
GENE_0012,False,False
GENE_0013,False,False
GENE_0014,False,False
GENE_0015,False,False
GENE_0016,False,False
GENE_0017,False,False
GENE_0018,False,False
GENE_0019,False,False
GENE_0020,False,False
GENE_0021,False,False
GENE_0022,False,False
GENE_0023,False,False
GENE_0024,False,False
GENE_0025,False,False
GENE_0026,False,False
GENE_0027,False,False
GENE_0028,False,False
GENE_0029,False,False
GENE_0030,False,False
GENE_0031,False,False
GENE_0032,False,False
GENE_0033,False,False
GENE_0034,False,False
GENE_0035,False,False
GENE_0036,False,False
GENE_0037,False,False
GENE_0038,False,False
GENE_0039,False,False
GENE_0040,False,False
GENE_0041,False,False
GENE_0042,False,False
GENE_0043,False,False
GENE_0044,False,False
GENE_0045,False,False
GENE_0046,False,False
GENE_0047,False,False
GENE_0048,False,False
GENE_0049,False,False
GENE_0050,False,False
GENE_0051,False,False
GENE_0052,False,False
GENE_0053,False,False
GENE_0054,False,False
GENE_0055,False,False
GENE_0056,False,False
GENE_0057,False,False
GENE_0058,False,False
GENE_0059,False,False
GENE_0060,False,False
GENE_0061,False,False
GENE_0062,False,False
